VUs,Endpoint,Avg (ms),Min (ms),Med (ms),p90 (ms),p95 (ms),Max (ms),Requests,Failures
10vus,GET /api/company,6.19,4.46,5.89,7.53,7.99,13.46,236,0
10vus,GET /api/marketing,7.01,4.52,6.66,8.62,9.89,22.08,236,0
10vus,GET /api/new-release,6.79,3.89,6.25,8.40,10.42,33.65,236,0
10vus,PUT /api/company,25.49,19.84,24.93,28.45,30.34,54.56,236,0
10vus,POST /api/auth/local,3.27,1.78,3.08,3.93,4.55,11.63,236,0
