VUs,Endpoint,Avg (ms),Min (ms),Med (ms),p90 (ms),p95 (ms),Max (ms),Requests,Failures
100vus,GET /api/company,196.34,2.11,189.14,351.71,414.32,523.50,1857,0
100vus,GET /api/marketing,160.65,3.53,134.65,352.54,411.03,615.47,1857,0
100vus,GET /api/new-release,171.94,0.52,163.62,337.69,399.56,521.66,1857,0
100vus,PUT /api/company,202.74,16.59,176.95,406.56,456.01,670.51,1857,0
100vus,POST /api/auth/local,133.65,0.77,117.91,302.09,344.07,519.02,1857,0
